Year,Month,Category,Rank,Title,Author,Publisher,PubDate,Price,Rating,ReviewCount,SalesIndex,BookURL
2025,10,국내도서 전체,148,"사랑하라, 거짓된 천사들이여 6",Coco Uzuki  글그림/ 정효진  역,서울미디어코믹스(서울문화사),2026년 04월,"5,400원",9.8,24,24744,https://www.yes24.com/product/goods/188187194
2025,10,국내도서 전체,149,최소한의 한국사,최태성  저,프런트페이지,2023년 06월,"17,820원",9.8,797,163785,https://www.yes24.com/product/goods/119458052
2025,10,국내도서 전체,150,시간 고양이 8,박미연  글/ 이소연  그림,이지북,2026년 04월,"13,500원",10.0,32,20640,https://www.yes24.com/product/goods/187818382
2025,10,국내도서 전체,151,사피엔스,유발 하라리  저/ 조현욱  역/ 이태수  감수,김영사,2015년 11월,"24,120원",9.5,2329,128295,https://www.yes24.com/product/goods/23030284
2025,10,국내도서 전체,152,나의 사탄,백은별  저,위즈덤하우스,2026년 04월,"11,700원",8.2,11,23493,https://www.yes24.com/product/goods/187934562
2025,10,국내도서 전체,153,10대를 위한 진짜를 보는 눈,"최서연 ,  전상훈  저",미디어숲,2026년 05월,"16,020원",10.0,7,15408,https://www.yes24.com/product/goods/188187597
2025,10,국내도서 전체,154,총 균 쇠,재레드 다이아몬드  저/ 강주헌  역,김영사,2023년 05월,"26,820원",9.7,456,127920,https://www.yes24.com/product/goods/118755085
2025,10,국내도서 전체,155,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클  저/ 이시형  역,청아출판사,2026년 01월,"10,800원",9.5,212,48375,https://www.yes24.com/product/goods/170736476
2025,10,국내도서 전체,156,다크 심리학 2,다크 사이드 프로젝트  저,어센딩,2026년 04월,"21,780원",9.8,53,25107,https://www.yes24.com/product/goods/183755495
2025,10,국내도서 전체,157,박태웅의 AI 강의 2026,박태웅  저,한빛비즈,2026년 03월,"20,700원",9.7,85,67050,https://www.yes24.com/product/goods/182424060
2025,10,국내도서 전체,158,코스피 1만 넥스트 레벨,박시동  저,지와인,2026년 03월,"19,800원",9.7,37,65001,https://www.yes24.com/product/goods/177569712
2025,10,국내도서 전체,159,던전에서 만남을 추구하면 안 되는 걸까 21 소책자 특장판,오모리 후지노  저/ 야스다 스즈히토  그림/ 김민재  역,소미미디어,2026년 05월,"18,000원",,0,12990,https://www.yes24.com/product/goods/189132100
2025,10,국내도서 전체,160,스페이스X 일론 머스크,에릭 버거  저/ 장용원  역/ 서성현  감수,상상스퀘어,2026년 04월,"23,400원",10.0,1,18582,https://www.yes24.com/product/goods/186703949
2025,10,국내도서 전체,161,오늘부터 300일,김신지  글/ 서평화  그림,휴머니스트,2021년 03월,"14,850원",9.7,34,23727,https://www.yes24.com/product/goods/97978751
2025,10,국내도서 전체,162,어린 왕자 : 미나리마 에디션,앙투안 드 생텍쥐페리  저/ 미나리마  그림/ 최정수  역,김영사,2026년 04월,"31,500원",9.5,29,38154,https://www.yes24.com/product/goods/184645414
2025,10,국내도서 전체,163,잘 자고 잘 먹는 아기의 시간표,정재호  저,한빛라이프,2026년 05월,"19,800원",,0,15891,https://www.yes24.com/product/goods/188189412
2025,10,국내도서 전체,164,죽은 왕녀를 위한 파반느 (양장 특별판),박민규  저,위즈덤하우스,2025년 11월,"18,000원",9.3,166,110217,https://www.yes24.com/product/goods/166577463
2025,10,국내도서 전체,165,주식으로 부자됩시다,박세익  저/ 임성민  기획,이든하우스,2026년 04월,"18,000원",9.8,24,38916,https://www.yes24.com/product/goods/182033412
2025,10,국내도서 전체,166,애태울 정도의 사랑을 알아라 2,쿄노 마코  글그림,학산문화사,2026년 05월,"6,300원",10.0,8,12450,https://www.yes24.com/product/goods/189182788
2025,10,국내도서 전체,167,나는 소망한다 내게 금지된 것을,양귀자  저,쓰다,2019년 04월,"13,500원",9.6,663,112989,https://www.yes24.com/product/goods/72127217
